,laptop name,GPU,Main Memory,Secondary Memory,Screen Dimension,Weight
565,Microsoft Surface Pro 6,,,,"12.3""",784 g
566,"Asus ROG Flow X13 (2022) GV301 13.4"" AMD Ryzen 9 6900HS 3.3GHz ", 32GB RAM , 1TB SSD,,"13.4""",1.3kg
567,"Asus TUF Gaming A15 (2023) 15.6""",,,,"15.6""",2.2kg
568,"Dell XPS 13 9315 2-in-1 13"" Intel Core i5-1230U 1GHz ", 16GB RAM , 1TB SSD,,"13""",736 g
569,"Dell G16 7630 (2023) 16"" QHD Plus Intel Core i7-13650HX 2.6GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"16""",2.73kg
570,"Razer Blade Pro 17 (2020) 17.3"" UHD Intel Core i7-10875H 2.3GHz ", 16GB RAM , 1TB SSD,,"17.3""",2.75kg
571,"HP ZBook Firefly G10 16"" OLED Intel Core i7-1365U 1.8GHz ", Nvidia RTX A500 Laptop , 32GB RAM , 1TB SSD,"16""",1.72kg
572,"LG Gram (2023) 16Z90R 16"" WQXGA Intel Core i7-1360P 2.2GHz ", 32GB RAM , 2TB SSD,,"16""",1.2kg
573,"Lenovo LOQ 15IRH8 15.6"" Intel Core i5-13500H 2.6GHz ", Nvidia GeForce RTX 4060 Laptop , 16GB RAM , 1TB SSD,"15""",2.4kg
574,"MSI GS66 Stealth 10UG-075 15.6"" FHD Intel Core i7-10870H 2.2GHz ", Nvidia GeForce RTX 3070 Laptop , 32GB RAM , 1TB SSD,"15.6""",2.1kg
575,Dell Alienware X15 R1 Intel Core i7-11800H 2.3GHz , Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 256B SSD,"15.6""",2.36kg
576,Acer Nitro 16 (2023) AMD Ryzen 5 7640HS 4.3GHz , Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"16""",2.8kg
577,"MSI GP66 Leopard 15.6"" Intel Core i7-10750H 2.6GHz ", Nvidia GeForce RTX 3070 Laptop , 32GB RAM , 512GB SSD,"15.6""",2.38kg
578,Xiaomi Book Air 13 (2022) Intel Core i5-1230U 1GHz , 16GB RAM , 512GB SSD,,"13.3""",16GB
579,"Dell Alienware m15 R7 (2022) 15.6"" Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 2TB SSD,"15.6""",2.69kg
580,Asus ROG Strix G15 G513 AMD Ryzen 7 4800H 2.9GHz , Nvidia GeForce RTX 3070 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.3kg
581,"Samsung Notebook 9 Pen 13""",,,,"13.3""",995 g
582,Asus ROG Strix G15 G513 AMD Ryzen 7 4800H 2.9GHz , Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.3kg
583,"LG Gram (2022) 14T90Q 14"" WQXGA Intel Core i5-1240P 1.2GHz ", 16GB RAM , 512GB SSD,,"14""",997 g
584,"MSI GP76 Leopard 17.3"" Intel Core i7-10870H 2.2GHz ", Nvidia GeForce RTX 3070 Laptop , 16GB RAM , 1TB SSD,"17.3""",2.9kg
585,Acer Predator Triton 14 (2023) Intel Core i7-13700H 2.4GHz , Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"14""",1.7kg
586,"Asus ROG Zephyrus S15 (2020) GX502 15.6"" FHD Intel Core i7-10875H 2.3GHz ", Nvidia GeForce RTX 2070 Super Laptop , 32GB RAM , 512GB SSD + 512GB SSD,"15.6""",1.9kg
587,"HP Envy 17-da0097nr 17.3"" Intel Core Ultra 7 155U 1.7GHz ", Nvidia GeForce RTX 3050 Laptop , 32GB RAM , 1TB SSD,"17.3""",2.5kg
588,"HP Dragonfly Pro (2023) 14"" AMD Ryzen 7 7736U 2.7GHz ", 32GB RAM , 1TB SSD,,"14""",1.55kg
589,"Lenovo Legion 5 Pro 16"" QHD AMD Ryzen 7 5800H 3.2GHz ", Nvidia GeForce RTX 3070 Laptop , 32GB RAM , 2TB SSD,"16""",2.54kg
590,"Dell Inspiron 16 Plus 7630 16"" Intel Core i7-13620H 2.4GHz ", 16GB RAM , 1TB SSD,,"16""",2.06kg
591,"HP ZBook Power G10 15.6"" Intel Core i9-13900H 2.6GHz ", Nvidia RTX A1000 Laptop , 32GB RAM , 1TB SSD,"15.6""",2.01kg
592,"MSI Katana GF66 12UGSO 15.6"" FHD Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3070 Ti Laptop , 16GB RAM , 1TB SSD,"15.6""",2.25kg
593,"MSI GP66 Leopard 15.6"" Intel Core i7-10875H 2.3GHz ", Nvidia GeForce RTX 3070 Laptop , 32GB RAM , 1TB SSD,"15.6""",2.38kg
594,"Dell G15 5520 15.6"" FHD Intel Core i7-12700H 2.3Ghz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 512GB SSD,"15.6""",2.67kg
595,"Dell XPS 13 Plus 13"" OLED Intel Core i5-1240P 1.2GHz ", 16GB RAM , 2TB SSD,,"13.4""",1.26kg
596,"Dell G15 5535 15.6"" FHD AMD Ryzen 7 7840HS 3.8Ghz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.97kg
597,"MSI Summit E14 A11SCS-088 14"" UHD Intel Core i7-1185G7 3GHz ", Nvidia GeForce GTX 1650 Ti Laptop , 16GB RAM , 1TB SSD,"14""",1.29kg
598,"Dell Latitude 9510 15"" Intel Core i5-10210U 1.6GHz ", 8GB RAM , 128GB SSD,,"15""",1.5kg
599,"HP Pavilion Plus 14-eh1002np 14"" Intel Core i7-13700H 2.4GHz ", 16GB RAM , 512GB SSD,,"14""",1.4kg
600,"Lenovo Legion Slim 7i 15.6"" Intel Core i7-10750H 2.6GHz ", 32GB RAM , 1TB SSD,,"15.6""",1.8kg
601,"Dell Latitude 9510 15"" Intel Core i7-10610U 1.8GHz ", 8GB RAM , 256GB SSD,,"15""",1.5kg
602,"MSI GP76 Leopard 17.3"" Intel Core i7-10750H 2.6GHz ", Nvidia GeForce RTX 3070 Laptop , 16GB RAM , 1TB SSD,"17.3""",2.9kg
603,"Lenovo LOQ 15IRH8 15.6"" Intel Core i7-13620H 2.4GHz ", Nvidia GeForce RTX 4060 Laptop , 16GB RAM , 1TB SSD,"15""",2.4kg
604,"Gigabyte Aero 15 Classic YA 15.6"" UHD Intel Core i9-9980HK 2.4GHz ", Nvidia GeForce RTX 2080 Super Max-Q Laptop , 64GB RAM , 2TB SSD,"15.6""",2kg
605,"Lenovo ThinkBook Plus Gen 3 17"" Intel Core i5-12500H 2.5GHz ", 16GB RAM , 1TB SSD,,"17.3""",2kg
606,"Lenovo LOQ 15IRH8 15.6"" Intel Core i7-13700H 2.4GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"15""",2.4kg
607,"Samsung Galaxy Book3 Pro 14"" Intel Core i7-1360P 2.2GHz ", 16GB RAM , 512GB SSD,,"14""",1.17kg
608,"Microsoft Surface Book 2 13.5"" Intel Core i5-7300U ", 8GB , 256GB,,"13.5""",1.53kg
609,"Acer Nitro 5 AN517-42-R5KZ 17.3"" AMD Ryzen 7 6800H 3.2GHz ", Nvidia GeForce RTX 3070 Laptop , 16GB RAM , 1TB SSD,"17.3""",3kg
610,"Asus Vivobook S 16 Flip OLED TP3604VA 16"" Intel Core i7-13700H 2.4GHz ", 16GB RAM , 1TB SSD,,"16""",1.9kg
611,"Xiaomi Redmi G Pro 16.1"" Intel Core i9-12900H 2.5GHz ", Nvidia GeForce RTX 3070 Ti Laptop , 16GB RAM , 512GB SSD,"16.1""",2.66kg
612,"Acer Predator Helios 300 PH315-55-79FW 15.6"" QHD Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3070 Ti Laptop , 32GB RAM , 1TB SSD,"15.6""",2.5kg
613,"MSI GE67HX Raider 12UGS-013 15.6"" QHD Intel Core i7-12800HX 1.5GHz ", Nvidia GeForce RTX 3070 Ti Laptop , 16GB RAM , 1TB SSD,"15.6""",2.38kg
614,"HP Elite Dragonfly Chromebook 13.5"" WUXGA Plus Intel Core i7-1265U 1.8GHz ", 32GB RAM , 512GB SSD,,"13.5""",1.27kg
615,"Lenovo ThinkPad X1 Yoga Gen 5 14"" Intel Core i5-10310U 1.7GHz ", 16GB RAM , 512GB SSD,,"14""",1.35kg
616,"Dell G16 7620 16"" QHD Plus Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 512GB SSD,"16""",2.7kg
617,Acer Nitro 16 (2023) AMD Ryzen 7 7840HS 3.8GHz , Nvidia GeForce RTX 4060 Laptop , 16GB RAM , 1TB SSD,"16""",2.8kg
618,"Samsung Galaxy Book2 Pro 15.6"" Intel Core i7-1260P 2.1GHz ", 16GB RAM , 1TB SSD,,"15.6""",1.17kg
619,"Razer Blade 15 (2020) 15.6"" OLED Intel Core i7-10750H 2.6GHz ", Nvidia GeForce RTX 2070 , 16GB RAM , 512GB SSD,"15.6""",2.1kg
620,"Razer Blade 15 (2020) 15.6"" FHD Intel Core i7-10750H 2.6GHz ", Nvidia GeForce RTX 2060 , 16GB RAM , 512GB SSD,"15.6""",2.1kg
621,"Razer Blade 15 (2020) 15.6"" FHD Intel Core i7-10750H 2.6GHz ", Nvidia GeForce GTX 1660 Ti , 16GB RAM , 256GB SSD,"15.6""",2.1kg
622,"Dell G15 5530 (2023) 15.6"" FHD Intel Core i7-13650HX 2.6Ghz ", Nvidia GeForce RTX 4060 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.81kg
623,Razer Blade 15 Base Model FHD Intel Core i7-11800H 2.3GHz , Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.09kg
624,"Apple MacBook Pro (2023) 16"" Apple M3 Pro ", 36GB RAM , 4TB SSD,,"16.2""",2.14kg
625,"HP Pavilion Plus 14-eh1003np 14"" Intel Core i5-1340P 1.9GHz ", 16GB RAM , 512GB SSD,,"14""",1.4kg
626,"MSI Summit E14 Flip Evo A12MT-015 14"" QHD+ Intel Core i7-1260P 1.5GHz ", 32GB RAM , 1TB SSD,,"14""",2.73kg
627,Acer Nitro 16 (2023) AMD Ryzen 7 7840HS 3.8GHz , Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"16""",2.7kg
628,"HP EliteBook 1040 G10 14"" Intel Core i7-1370P 1.9GHz ", 32GB RAM , 512GB SSD,,"14""",1.19kg
629,Dell XPS 17 9720 Intel Core i5-12500H 2.5GHz , 8GB RAM , 512GB SSD,,"17""",2.57kg
630,Asus ROG Zephyrus G15 GA503 AMD Ryzen 9 5900HS 3GHz , Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 1TB SSD,"15.6""",1.9kg
631,Asus ROG Strix G15 G513 AMD Ryzen 9 5900HX 3.3GHz , Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.3kg
632,"Dell Inspiron 16 Plus 7620 16"" Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 512GB SSD,"16""",2.05kg
633,"Lenovo LOQ 15IRH8 15.6"" Intel Core i5-13500H 2.6GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"15""",2.4kg
634,"Lenovo IdeaPad Gaming 3 15ARH7 15.6"" AMD Ryzen 7 7735HS 3.2GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.32kg
635,"Apple MacBook Pro (2023) 14"" Apple M3 Pro ", 36GB RAM , 4TB SSD,,"14.2""",1.61kg
636,"Gigabyte Aero 15 Classic SA 15.6"" UHD Intel Core i7-9750H 2.6GHz ", Nvidia GeForce GTX 1660 Ti , 16GB RAM , 512GB SSD,"16.6""",2kg
637,"Acer Nitro 17 AN17-71-75VK 17.3"" Intel Core i7-13700HX 2.1GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"17.3""",3.25kg
638,"Gigabyte Aorus 17G KD 17.3"" Intel Core i7-11800H 2.3GHz ", Nvidia GeForce 3060 Laptop , 16GB RAM , 512GB SSD,"17.3""",2.7kg
639,"Dell XPS 13 Plus 13"" OLED Intel Core i5-1340P 1.9GHz ", 16GB RAM , 1TB SSD,,"13.37""",1.26kg
640,"Dell Alienware M15 R4 15.6"" Intel Core i7-10870H 2.2GHz ", Nvidia GeForce RTX 3070 Laptop , 32GB RAM , 512GB SSD,"15.6""",2.5kg
641,"Apple MacBook Pro (2021) 14.2"" Apple M1 Pro 8-core ", 16GB RAM , 512GB SSD,,"14.2""",1.6kg
642,"Acer Nitro 5 15.6"" Intel Core i7-11800H 2.3GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 512GB SSD,"15.6""",2.3kg
643,"Acer Nitro 5 (2023) 15.6"" Intel Core i7-12650H 2.3GHz ", Nvidia GeForce RTX 4060 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.5kg
644,"Lenovo ThinkPad X1 Carbon Gen 9 14"" Intel Core i7-1185G7 3GHz ", 16GB RAM , 1TB SSD,,"14""",1.13kg
645,"Asus ROG Flow Z13 (2022) GZ301 13.4"" Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 512GB SSD,"13.4""",1.18kg
646,"Lenovo ThinkPad P1 15.6"" UHD Intel Core i7-8850H 2.6GHz ", 16GB RAM , 512GB SSD,,"15.6""",1.7kg
647,"MSI GP66 Vector 12UE 272 15.6"" FHD Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.38kg
648,"MSI GE66 Raider 10UG-622 15.6"" FHD Intel Core i7-10750H 2.6GHz ", Nvidia GeForce RTX 3070 Laptop , 32GB RAM , 1TB SDD,"15.6""",2.38kg
649,"Asus ROG Zephyrus G14 GA401 14"" AMD Ryzen 9 5900HS 3GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 1TB SSD,"14""",1.7kg
650,"MSI GP76 Vector 12UE-270 17.3"" FHD Intel Core i7-12700H 1.7GHz ", Nvidia GeForce 3060 Laptop , 16GB RAM , 1TB SSD,"17.3""",2.9kg
651,"HP ZBook Fury G8 15.6"" Intel Core i9-11950H 2.6GHz ", Nvidia RTX A5000 16GB Laptop , 64GB RAM , 1TB SSD,"15.6""",2.35kg
652,"Acer Swift X SFX14-71G-76LC 14"" Intel Core i7-13700H 2.4GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"14.5""",1.55kg
653,"MSI Summit E16 Flip A11UCT-019 16"" QHD+ Intel Core i7-1195G7 2.9GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 1TB SSD,"16""",1.9kg
654,"Lenovo IdeaPad 5i 2-in-1 Gen 9 14"" Intel Core 7 150U 1.8GHz ", 16GB RAM , 1TB SSD,,"14""",1.5kg
655,"Acer Nitro 17 (2024) 17.3"" Intel Core i7-14650HX 2.2GHz ", Nvidia GeForce RTX 4060 Laptop , 16GB RAM , 1TB SSD,"17.3""",16GB
656,"Dell G15 5530 (2023) 15.6"" FHD Intel Core i7-13650HX 2.6Ghz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.65kg
657,"Apple MacBook Pro (2021) 16.2"" Apple M1 Pro 10-core ", 16GB RAM , 1TB SSD,,"16.2""",2.1kg
658,"Asus ZenBook Pro 15 UX580GE 15.6"" Intel Core i9-8950HK 2.9GHz ", 16GB , 1TB SSD,,"15.6""",1.88kg
659,"Lenovo ThinkPad P1 15.6"" UHD Intel Xeon E-2176M 2.7GHz ", 32GB RAM , 1TB SSD,,"15.6""",1.7kg
660,"Lenovo LOQ 15IRH8 15.6"" Intel Core i7-13620H 2.4GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"15""",2.4kg
661,"MSI GE76 Raider Dragon Edition Tiamat 17.3"" Intel Core i7-10870H 2.2GHz ", Nvidia GeForce RTX 3070 Laptop , 32GB RAM , 1TB SSD,"17.3""",2.9kg
662,Microsoft Surface Pro 7 Plus 12.3” Intel Core i7-1165G7 2.8GHz , 32GB RAM , 1TB SSD,,"12.3""",784 g
663,"HP Victus 15-fa1018TX 15.6"" Intel Core i7-13700H 2.4GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.29kg
664,"Acer Nitro 5 15.6"" Intel Core i7-11800H 2.3GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.2kg
665,Acer Nitro 16 (2023) AMD Ryzen 7 7735HS 3.2GHz , Nvidia GeForce RTX 4070 Laptop , 16GB RAM , 512GB SSD,"16""",2.8kg
666,"Asus ZenBook Pro 15 UX580GD 15.6"" Intel Core i9-8950HK 2.9GHz ", 16GB RAM , 512GB SSD,,"15.6""",1.88kg
667,"Asus VivoBook Pro 16X OLED M7600QE 16"" AMD Ryzen 7 5800H 3.2GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 1TB SSD,"16""",1.95kg
668,"Dell Alienware X14 R2 (2023) 14"" Intel Core i7-13620H 2.4GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 4TB SSD,"14""",1.91kg
669,"Dell XPS 15 (2020) 15.6"" Intel Core i7-10750H 2.6GHz ", 32GB RAM , 1TB SSD,,"15.6""",2.05kg
670,"Asus ROG Zephyrus G14 GA401IH 14"" AMD Ryzen 7 4800HS 2.9GHz ", 8GB RAM , 512GB SSD,,"14""",1.6kg
671,"Acer Nitro 5 17.3"" Intel Core i7-11800H 2.3GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 1TB SSD,"17.3""",2.2kg
672,"Dell G16 7630 (2023) 16"" QHD Plus Intel Core i5-13450HX 2.4GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"16""",2.73kg
673,Gigabyte Aero 15 OLED KD Intel Core i7-11800H 2.3GHz , Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 512GB SSD,"15.6""",3.89kg
674,Lenovo ThinkPad P52 15.6” Intel Xeon E-2176M 2.7GHz , 8GB RAM , 500GB HDD,,"15.6""",2.45kg
675,"Lenovo ThinkPad P52 15.6"" Intel Xeon E-2176M 2.7GHz ", 16GB RAM , 1TB SSD,,"15.6""",2.45kg
676,"MSI Katana GF66 12UGSZOK 15.6"" FHD Intel Core i7-12650H 2.3GHz ", Nvidia GeForce RTX 3070 Ti Laptop , 16GB RAM , 1TB SSD,"15.6""",2.25kg
677,"Dell XPS 13 Plus 13"" FHD Plus Intel Core i5-1240P 1.2GHz ", 8GB RAM , 512GB SSD,,"13.4""",1.26kg
678,"Lenovo IdeaPad Gaming 3 15ARH7 15.6"" AMD Ryzen 7 6800H 3.2GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 1TB SSD,"15.6""",2.32kg
679,"Razer Blade 15 Advanced Edition 15.6"" Intel Core i7-10875H 2.3GHz ", Nvidia GeForce RTX 2080 Super Max-Q Laptop , 16GB RAM , 1TB SSD,"15.6""",2.08kg
680,"Asus ROG Zephyrus G14 (2022) GA402RJ 14"" AMD Ryzen 9 6900HS 3.3GHz ", AMD Radeon RX 6700S , 40GB RAM , 8TB SSD,"14""",1.72kg
681,"Dell Alienware x14 (2022) 14"" Intel Core i5-12500H 2.5GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 2TB SSD,"14""",1.84kg
682,"HP Elite Dragonfly Chromebook 13.5"" WUXGA Plus Intel Core i5-1245U 1.6GHz ", 16GB RAM , 512GB SSD,,"13.5""",1.27kg
683,"Acer Predator Helios 300 PH315-55-74BV 15.6"" QHD Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3070 Ti Laptop , 16GB RAM , 1TB SSD,"15.6""",2.6kg
684,"MSI GP66 Leopard 15.6"" Intel Core i7-10870H 2.2GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.38kg
685,"Acer Nitro 17 (2024) 17.3"" Intel Core i5-14450HX 2.4GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"17.3""",3.1kg
686,"Apple MacBook Air (2023) 15.3"" Apple M2 8-core ", 24GB RAM , 2TB SSD,,"15.3""",1.51kg
687,"HP Elite Dragonfly Chromebook 13.5"" WUXGA Plus Intel Core i5-1235U 1.3GHz ", 8GB RAM , 512GB SSD,,"13.5""",1.27kg
688,"Apple MacBook Pro (2023) 14"" Apple M3 Pro (12-core CPU ", 18-core GPU) , 36GB RAM , 4TB SSD,"14.2""",1.61kg
689,"Asus ROG Mothership GZ700 UHD 17"" Intel Core i9-9980HK 2.4GHz ", 64GB RAM , 1.5TB SSD,,"17.3""",4.8kg
690,"Lenovo Yoga 9i 14"" Intel Core i7-1185G7 3GHz ", 16GB RAM , 1TB SSD,,"14""",1.37kg
691,"Acer Swift X SFX14-51G-71Y1 14"" Intel Core i7-1260P 2.1GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 512GB SSD,"14""",1.4kg
692,"MSI GP76 Leopard 17.3"" Intel Core i7-10750H 2.6GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 1TB SSD,"17.3""",2.9kg
693,"HP ZBook Fury G8 17.3"" Intel Xeon W-11955M 2.6GHz ", Nvidia RTX A5000 16GB Laptop , 64GB RAM , 512GB SSD,"17.3""",2.76kg
694,"MSI GS66 Stealth 10UE-498 15.6"" FHD Intel Core i7-10870H 2.6GHz ", Nvidia GeForce RTX 3060 Laptop , 32GB RAM , 2TB SSD,"15.6""",2.1kg
695,"MSI Prestige 15 A12UD-005 15.6"" FHD Intel Core i7-1260P 1.5GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 2TB SSD + 2TB SSD,"15.6""",2.5kg
696,"MSI GF63 Thin 12VE 15.6"" FHD Intel Core i7-12650H 2.3GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"15.6""",1.86kg
697,"Dell Latitude 9410 14"" Intel Core i7-10810U 1.8GHz ", 16GB RAM , 2TB SSD,,"14""",1.36kg
698,Asus ZenBook Pro Duo 15 OLED UX582 Intel Core i9-10980HK 2.4GHz , 32GB RAM , 1TB SSD,,"15.6""",2.34kg
699,"Acer Nitro 5 15.6"" Intel Core i5-11400H 2.7GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 512GB SSD,"15.6""",2.3kg
700,Asus ROG Zephyrus Duo 15 GX550LWS Intel Core i7-10875H 2.3GHz , 32GB RAM , 2TB SSD,,"15.6""",2.4kg
701,"LG Gram (2022) 17Z90Q 17"" WQXGA Intel Core i7-1260P 2.1GHz ", 32GB RAM , 2TB SSD,,"17""",1.44kg
702,"Lenovo Yoga 9i 15.6"" Intel Core i9-10980HK 2.4GHz ", 16GB RAM , 2TB SSD,,"15.6""",2kg
703,"Acer Swift X SFX14-71G-5911 14"" Intel Core i5-13500H 2.6GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 512GB SSD,"14.5""",1.5kg
704,"Lenovo ThinkPad Z13 13"" AMD Ryzen 7 Pro 6860Z 2.7GHz ", 32GB RAM , 1TB SSD,,"13.3""",1.26kg
705,"Gigabyte Aero 15 Classic WA 15.6"" UHD Intel Core i7-9750H 2.6GHz ", Nvidia GeForce RTX 2060 Laptop , 16GB RAM , 512GB SSD,"15.6""",2kg
706,Asus TUF Dash F15 Intel Core i7-11370H 3.3GHz , 16GB RAM , 512GB SSD,,"15.6""",2kg
707,"LG Gram 2-in-1 (2022) 16T90Q 16"" WQXGA Intel Core i5-1240P 1.7GHz ", 16GB RAM , 512GB SSD,,"16""",1.48kg
708,"Lenovo X1 Yoga Gen 6 14"" Intel Core i7-1185G7 3GHz ", 32GB RAM , 512GB SSD,,"14""",1.35kg
709,"Apple MacBook Pro (2021) 14.2"" Apple M1 Pro 10-core ", 16GB RAM , 1TB SSD,,"14.2""",1.6kg
710,"HP Elite Dragonfly Max 13.3"" Intel Core i7-1185G7 3GHz ", 16GB RAM , 512GB SSD,,"13.3""",1.13kg
711,"Lenovo IdeaPad Gaming 3 15ARH7 15.6"" AMD Ryzen 7 6800H 3.2GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.32kg
712,"MSI Creator M16 A12UD 266 16"" QHD+ Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 64GB RAM , 2TB SSD,"16""",2.26kg
713,"Asus Vivobook 16X K3605ZF 16"" WUXGA Intel Core i7-12650H 2.3GHz ", Nvidia GeForce RTX 2050 Laptop , 16GB RAM , 512GB SSD,"16""",1.8kg
714,"LG Gram (2022) 16Z90Q 16"" WQXGA Intel Core i7-1260P 2.1GHz ", 32GB RAM , 1TB SSD,,"16""",1.19kg
715,"Lenovo ThinkPad X1 Carbon Gen 9 14"" Intel Core i7-1165G7 2.8GHz ", 16GB RAM , 1TB SSD,,"14""",1.13kg
716,"Lenovo LOQ 15IRH8 15.6"" Intel Core i5-13420H 2.1GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"15""",2.4kg
717,"HP Victus 15-fa0013np 15.6"" Intel Core i5-12500H 2.5GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 512GB SSD,"15.6""",2.29kg
718,"Microsoft Surface Book 3 15"" Intel Core i7-1065G7 ", 32GB RAM , 2TB SSD,,"15""",1.91kg
719,"Asus Vivobook Pro 16 OLED K6602ZC 16"" Intel Core i5-12500H 2.5GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 512GB SSD,"16""",1.9kg
720,"Lenovo ThinkBook 16p Gen 2 16"" WQXGA AMD Ryzen 7 5800H 3.2GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 1TB SSD,"16""",1.99kg
721,"Acer Nitro 17 (2023) 17.3"" AMD Ryzen 7 7735HS 3.2GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"17.3""",3.25kg
722,"Asus ProArt StudioBook Pro 17 W700G3T 17"" WUXGA Intel Core i7-9750H 2.6GHz ", Nvidia Quadro RTX 3000 Max-Q , 64GB RAM , 1TB SSD,"17""",2.39kg
723,"HP Elite Dragonfly Chromebook 13.5"" WUXGA Plus Intel Core i3-1215U 1.2GHz ", 8GB RAM , 512GB SSD,,"13.5""",1.27kg
724,"Asus ZenBook Pro 15 UX580GD 15.6"" Intel Core i7-8750H 2.2GHz ", 16GB RAM , 512GB SSD,,"15.6""",1.88kg
725,"HP Victus 16-d0097nr 16.1"" Intel Core i7-11800H 2.3GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 512GB SSD,"16.1""",2.47kg
726,Acer Predator Helios Neo 16 (2023) Intel Core i5-13500HX 2.5GHz , Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"16""",2.8kg
727,"Dell Alienware Area-51m R2 17.3"" Intel Core i7-10700K 3.8GHz ", 32GB RAM , 1TB SSD,,"17.3""",4.7kg
728,"Samsung Galaxy Book3 Pro 16"" Intel Core i7-1360P 2.2GHz ", 16GB RAM , 1TB SSD,,"16""",1.56kg
729,"Dell G15 5510 15.6"" Intel Core i7-10870H 2.2GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.44kg
730,Acer Nitro 16 (2023) Intel Core i7-13700H 2.4GHz , Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"16""",2.6kg
